id,idSportinglife,date,hour,time,name,classe,amountRunners,prizes,description,oddP1,oddP2,oddP3,oddP4,oddP5,oddP6,oddP7,oddP8,oddP1Dec,oddP2Dec,oddP3Dec,oddP4Dec,oddP5Dec,oddP6Dec,oddP7Dec,oddP8Dec,rideToFinish1,rideToFinish2,rideToFinish3,rideToFinish4,rideToFinish5,rideToFinish6,rideToFinish7,rideToFinish8,createdAt,updatedAt
1,183832,2020-01-12,21:17,1578874620000,"Central Park",OR,6,"1st £250, Others £50  Race Total £500","Ronans Racer (2/1), Gerrys Sky (7/4), Seomra Breeze (5/1), Savana Brandy (5/2), Centenarys Chloe (20/1), Feora Tyson (14/1)",3,2.75,6,3.5,21,15,NULL,NULL,2/1,7/4,5/1,5/2,20/1,14/1,NULL,NULL,4,5,3,1,6,2,NULL,NULL,"2020-01-13 11:17:27","2020-01-13 11:17:27"
2,183830,2020-01-12,20:44,1578872640000,"Central Park",OR,6,"1st £200, Others £50  Race Total £450  ","Ballymac Osby (2/1), Kingsbrook Glyn (4/1), Windmill Rover (14/1), Touchdown Erin (7/1), Queen Tammy (5/4), Jet Stream Socks (8/1)",3,5,15,8,2.25,9,NULL,NULL,2/1,4/1,14/1,7/1,5/4,8/1,NULL,NULL,1,3,4,2,6,5,NULL,NULL,"2020-01-13 11:17:27","2020-01-13 11:17:27"
3,183828,2020-01-12,20:09,1578870540000,"Central Park",OR,6,"1st £200, Others £50  Race Total £450  ","Droopys Cannon (4/5), Queen Dolly (2/1), Cheeky Bob (10/1), Nans Missile (14/1), Pantone Whisper (8/1), Savana Beetle (7/1)",1.8,3,11,15,9,8,NULL,NULL,4/5,2/1,10/1,14/1,8/1,7/1,NULL,NULL,2,5,4,3,1,6,NULL,NULL,"2020-01-13 11:17:28","2020-01-13 11:17:28"
4,183825,2020-01-12,19:18,1578867480000,"Central Park",OR,6,"1st £250, Others £50  Race Total £500  ","Makeit Good News (9/4), Bolshoi Beano (4/1), Its An Act (9/4), Brookland King (10/1), Jet Stream Jimmy (3/1), Bellagors Sal (10/1)",3.25,5,3.25,11,4,11,NULL,NULL,9/4,4/1,9/4,10/1,3/1,10/1,NULL,NULL,4,1,5,6,3,2,NULL,NULL,"2020-01-13 11:17:28","2020-01-13 11:17:28"
5,183822,2020-01-12,18:27,1578864420000,"Central Park",D3,6,"1st £100, Others £38  Race Total £290  ","Acton Sam (1/1), Decisive Rodge (5/1), Mintbet Magic (8/1), Ballybeg Scolari (4/1), Miss Van Dijk (5/1), Mars Moon (8/1)",2,6,9,5,6,9,NULL,NULL,1/1,5/1,8/1,4/1,5/1,8/1,NULL,NULL,3,4,6,5,2,1,NULL,NULL,"2020-01-13 11:17:29","2020-01-13 11:17:29"
6,183821,2020-01-12,18:09,1578863340000,"Central Park",A2,6,"1st £150, Others £45  Race Total £375  ","Shaneboy Mimi (7/4), King Ozzy (5/4), Decisive Diego (9/2), Lissane Lily (7/2), Glenside Prince (14/1), Blue Collar (N/A)",2.75,2.25,5.5,4.5,15,0,NULL,NULL,7/4,5/4,9/2,7/2,14/1,NULL,NULL,NULL,1,3,5,6,4,0,NULL,NULL,"2020-01-13 11:17:29","2020-01-13 11:17:29"
7,183831,2020-01-12,21:01,1578873660000,"Central Park",OR,6,"1st £250, Others £50  Race Total £500  ","Droopys Cruiser (1/4), Madabout James (7/1), Baran Terminator (100/1), Mottos Moon (4/1), Jelly Flood (6/1), Paddington (N/A)",1.25,8,101,5,7,0,NULL,NULL,1/4,7/1,100/1,4/1,6/1,NULL,NULL,NULL,1,5,2,4,3,0,NULL,NULL,"2020-01-13 11:17:30","2020-01-13 11:17:30"
8,183829,2020-01-12,20:27,1578871620000,"Central Park",OR,7,"1st £200, Others £50  Race Total £450  ","King Louis (1/2), Piemans Star (5/2), Swansalona Playa (9/2), Savana Alan (14/1), Catunda Blake (50/1), Kelseys Zulu (25/1), Savana Bazza (N/A)",1.5,3.5,5.5,15,51,26,0,NULL,1/2,5/2,9/2,14/1,50/1,25/1,NULL,NULL,5,1,4,6,2,3,0,NULL,"2020-01-13 11:17:30","2020-01-13 11:17:30"
9,183827,2020-01-12,19:53,1578869580000,"Central Park",OR,6,"1st £500, Others £60  Race Total £800  ","Southfield Code (4/9), Savana Tequila (20/1), Churchtown Gift (10/1), Nans Camilo (33/1), Savana Jenny (5/1), Savana Me Daddy (3/1)",1.44,21,11,34,6,4,NULL,NULL,4/9,20/1,10/1,33/1,5/1,3/1,NULL,NULL,6,3,4,2,1,5,NULL,NULL,"2020-01-13 11:17:30","2020-01-13 11:17:30"
10,183826,2020-01-12,19:36,1578868560000,"Central Park",OR,6,"1st £300, Others £50  Race Total £550  ","Rockmount Ozzy (5/2), Makeit Gertcha (5/2), Nans Major (3/1), Southfield Ariel (4/1), Courts Ad Lyn (4/1), Sophies Ace (20/1)",3.5,3.5,4,5,5,21,NULL,NULL,5/2,5/2,3/1,4/1,4/1,20/1,NULL,NULL,3,2,1,4,6,5,NULL,NULL,"2020-01-13 11:17:31","2020-01-13 11:17:31"
