id,idSportinglife,date,hour,time,name,place,track,age,amountRunners,description,oddP1,oddP2,oddP3,oddP4,oddP5,oddP6,oddP7,oddP8,oddP9,oddP10,oddP11,oddP12,oddP13,oddP14,oddP15,oddP16,oddP17,oddP18,oddP19,oddP20,oddP21,oddP1Dec,oddP2Dec,oddP3Dec,oddP4Dec,oddP5Dec,oddP6Dec,oddP7Dec,oddP8Dec,oddP9Dec,oddP10Dec,oddP11Dec,oddP12Dec,oddP13Dec,oddP14Dec,oddP15Dec,oddP16Dec,oddP17Dec,oddP18Dec,oddP19Dec,oddP20Dec,oddP21Dec,premiumP1,premiumP2,premiumP3,premiumP4,premiumP5,premiumP6,premiumP7,premiumP8,rideToFinish1,rideToFinish2,rideToFinish3,rideToFinish4,rideToFinish5,rideToFinish6,rideToFinish7,rideToFinish8,rideToFinish9,rideToFinish10,rideToFinish11,rideToFinish12,rideToFinish13,rideToFinish14,rideToFinish15,rideToFinish16,rideToFinish17,rideToFinish18,rideToFinish19,rideToFinish20,rideToFinish21,createdAt,updatedAt
1,559547,2020-01-12,12:20,1578842400000,"EBF 'National Hunt' Novices' Hurdle",Kelso,TURF,"4YO to 6YO",5,"Kiltealy Briggs (1/4), Elf De Re (2/1), Folks Like Us (40/1), Pentelitubby (66/1), Lissen To The Lady (125/1), Schiehallion Ridge (125/1)",1.25,3,41,126,126,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/4,2/1,40/1,125/1,125/1,66/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4224.0 GBP","1240.0 GBP","620.0 GBP","310.0 GBP",NULL,NULL,NULL,NULL,2,1,3,6,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:27","2020-01-13 11:17:27"
2,559548,2020-01-12,12:50,1578844200000,"William Hill Leading Racecourse Bookmaker Handicap Chase",Kelso,TURF,"5YO plus",8,"Mr Mcgo (9/4), Aloomomo (7/2), Mah Mate Bob (7/2), Well Above Par (6/1), Tanarpino (10/1), Up Helly Aa King (14/1), Ash Park (14/1), Charlie Snow Angel (16/1), Knocknamona (18/1)",4.5,15,3.25,17,7,4.5,19,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/2,14/1,9/4,16/1,6/1,7/2,18/1,10/1,14/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"6628.0 GBP","1946.0 GBP","973.0 GBP","487.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP",6,7,2,8,3,5,9,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:27","2020-01-13 11:17:27"
3,559549,2020-01-12,13:25,1578846300000,"Live Streams On RacingTV Extra Novices' Hurdle",Kelso,TURF,"5YO plus",12,"Cheddleton (4/6), Jabbaar (13/8), Overcourt (12/1), Mamdood (12/1), Arnica (20/1), Slainte Mhor (40/1), Artic Mann (40/1), Kilfinan Bay (50/1), Elite Icon (100/1), St Basil (100/1), Picking Peaches (200/1), Raemoir (200/1), Weave Some Magic (200/1)",1.67,2.63,13,21,101,41,201,13,201,41,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/6,13/8,12/1,20/1,100/1,40/1,200/1,12/1,200/1,40/1,50/1,200/1,100/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4224.0 GBP","1240.0 GBP","620.0 GBP","310.0 GBP",NULL,NULL,NULL,NULL,1,2,8,3,5,10,13,7,9,4,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:28","2020-01-13 11:17:28"
4,559550,2020-01-12,13:55,1578848100000,"Book Now For May Ladies Day Handicap Hurdle",Kelso,TURF,"4YO plus",4,"Elvis Mail (11/8), Chti Balko (13/5), Kaizer (4/1), Dublin Four (9/2)",2.38,5.5,5,3.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/8,9/2,4/1,13/5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"12512.0 GBP","3696.0 GBP","1848.0 GBP","924.0 GBP","462.0 GBP","232.0 GBP",NULL,NULL,2,4,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:28","2020-01-13 11:17:28"
5,559551,2020-01-12,14:30,1578850200000,"Annual Members Get Best Value Handicap Chase",Kelso,TURF,"5YO plus",8,"Mymilan (6/4), Westend Theatre (11/4), Warendorf (7/2), Lowanbehold (7/1), Multipede (7/1), Kings Eclipse (10/1), Rising Marienbard (10/1), Classical Milano (18/1), Katalystic (25/1), Purcell's Bridge (25/1)",11,2.5,26,3.75,26,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/1,6/4,25/1,11/4,25/1,7/1,18/1,7/2,10/1,7/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4614.0 GBP","1355.0 GBP","677.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP",5,8,3,9,4,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:29","2020-01-13 11:17:29"
6,559552,2020-01-12,15:00,1578852000000,"RacingTV Profits Returned To Racing Handicap Chase",Kelso,TURF,"5YO plus",6,"Slanelough (2/1), Knockoura (11/4), Chapel Stile (3/1), Big River (7/2), Ami Desbois (13/2), Federici (13/2), Neverushacon (8/1), Justforjames (28/1)",4.5,7.5,9,3,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/2,13/2,8/1,2/1,11/4,3/1,13/2,28/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"7928.0 GBP","2328.0 GBP","1164.0 GBP","582.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP",3,1,2,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:30","2020-01-13 11:17:30"
7,559553,2020-01-12,15:35,1578854100000,"Join Racing TV Now Handicap Hurdle",Kelso,TURF,"4YO plus",8,"Starplex (15/8), Calliope (9/2), Bullion Boss (9/2), Flaming Glory (5/1), Let's Sway (13/2), Wild Sam (8/1), Garde Forestier (9/1), Gallahers Cross (9/1), Southeast Rose (12/1), Here In The Dark (20/1), Knockrea (25/1)",13,2.88,5.5,6,10,9,10,26,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/1,15/8,9/2,5/1,9/1,8/1,9/1,25/1,13/2,9/2,20/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3249.0 GBP","954.0 GBP","477.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP",7,4,8,9,6,3,5,10,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:30","2020-01-13 11:17:30"
8,559526,2020-01-12,12:40,1578843600000,"Ladbrokes Home Of The Odds Boost Handicap",Southwell,FIBRESAND,"3YO only",6,"Constitutional (2/1), Isobar Wind (7/2), Sea of Cool (4/1), Leg It Lenny (13/2), Casaruan (8/1), Interrupted Dream (11/1)",5,7.5,3,9,12,4.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/1,13/2,2/1,8/1,11/1,7/2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2782.0 GBP","828.0 GBP","414.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP",6,3,4,5,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:31","2020-01-13 11:17:31"
9,559527,2020-01-12,13:15,1578845700000,"Ladbrokes Where The Nation Plays Novice Stakes",Southwell,FIBRESAND,"3YO only",7,"Harrison Point (1/1), Snowball Jackson (3/1), Iron Heart (4/1), Almqvist (10/1), Captain Moorhouse (25/1), Whitehaven (66/1), Hoorayforthegrey (150/1)",2,4,5,26,67,151,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/1,3/1,4/1,25/1,66/1,150/1,10/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3429.0 GBP","1020.0 GBP","510.0 GBP","255.0 GBP",NULL,NULL,NULL,NULL,1,6,5,3,7,4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:31","2020-01-13 11:17:31"
10,559528,2020-01-12,13:45,1578847500000,"Bombardier Golden Beer Handicap",Southwell,FIBRESAND,"4YO plus",6,"Directory (7/4), Silverturnstogold (3/1), Jazz Hands (5/1), Sea Fox (11/2), Robero (9/1), Momtalik (12/1)",4,2.75,6,10,13,6.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/1,7/4,5/1,9/1,12/1,11/2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5208.0 GBP","1550.0 GBP","774.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP",4,1,6,3,5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:32","2020-01-13 11:17:32"
